Název účtu;Položka rozvahy;;Položka výkazu zisku a ztráty
;Aktiva;Pasiva
ÚČTOVÁ TŘÍDA 0 - DLOUHODOBÝ MAJETEK
01 - Dlouhodobý nehmotný majetek
011 - Zřizovací výdaje;B.I.1.
012 - Nehmotné výsledky výzkumu a vývoje;B.I.2.
013 - Software;B.I.3.
014 - Ocenitelná práva;B.I.4.
015 - Goodwill;B.I.5.
019 - Jiný dlouhodobý nehmotný majetek;B.I.6.
02 - Dlouhodobý hmotný majetek odpisovaný
021 - Stavby;B.II.2.
022 - Samostatné movité věci a soubory movitých věcí;B.II.3.
025 - Pěstitelské celky trvalých porostů;B.II.4.
026 - Základní stádo, tažná zvířata;B.II.5.
029 - Jiný dlouhodobý hmotný majetek;B.II.6.
03 - Dlouhodobý hmotný majetek neodpisovaný
031 - Pozemky;B.II.1.
032 - Umělecká díla a sbírky;B.II.6.
04 - Nedokončený dlouhodobý nehmotný a hmotný majetek a pořizovaný dlouhodobý finanční majetek
041 - Pořízení dlouhodobého nehmotného majetku;B.I.7.
042 - Pořízení dlouhodobého hmotného majetku;B.II.7.
043 - Pořízení dlouhodobého finančního majetku;B.III.6.
05 - Poskytnuté zálohy na dlouhodobý majetek
051 - Poskytnuté zálohy na dlouhodobý nehmotný majetek;B.I.8.
052 - Poskytnuté zálohy na dlouhodobý hmotný majetek;B.II.8.
053 - Poskytnuté zálohy na dlouhodobý finanční majetek;B.III.7.
06 - Dlouhodobý finanční majetek
061 - Podíly v ovládaných a řízených osobách;B.III.1.
062 - Podíly v účetních jednotkách pod podstatným vlivem;B.III.2.
063 - Realizovatelné cenné papíry a podíly;B.III.3.
065 - Dlužné cenné papíry držené do splatnosti;B.III.3.
066 - Půjčky ovládaným a řízeným osobám a účetním jednotkám pod podstatným vlivem;B.III.4.
067 - Ostatní půjčky;B.III.5.
069 - Jiný dlouhodobý finanční majetek;B.III.5.
07 - Oprávky k dlouhodobému nehmotnému majetku
071 - Oprávky ke zřizovacím výdajům;K/B.I.1.
072 - Oprávky k nehmotným výsledkům výzkumu a vývoje;K/B.I.2.
073 - Oprávky k softwaru;K/B.I.3.
074 - Oprávky k ocenitelným právům;K/B.I.4.
075 - Oprávky ke goodwillu;K/B.I.5.
079 - Oprávky k jinému dlouhodobému nehmotnému majetku;K/B.I.6.
08 - Oprávky k dlouhodobému hmotnému majetku
081 - Oprávky ke stavbám;K/B.II.2.
082 - Oprávky k samostatným movitým věcem a souborům movitých věcí;K/B.II.3.
085 - Oprávky k pěstitelským celkům trvalých porostů;K/B.II.4.
086 - Oprávky k základnímu stádu a tažným zvířatům;K/B.II.5.
089 - Oprávky k jinému dlouhodobému hmotnému majetku;K/B.II.6.
09 - Opravné položky k dlouhodobému majetku
091 - Opravná položka k dlouhodobému nehmotnému majetku;K/B.I.1. až 6.
092 - Opravná položka k dlouhodobému hmotnému majetku;K/B.II. 1. až 6.
093 - Opravná položka k dlouhodobému nedokončenému nehmotnému majetku;K/B.I.7.
094 - Opravná položka k dlouhodobému nedokončenému hmotnému majetku;K/B.II.7.
095 - Opravná položka k poskytnutým zálohám;K/B.I.8., K/B.II.8., K/B.III.7.
096 - Opravná položka k dlouhodobému finančnímu majetku;K/B.III. 1. až 6.
097 - Oceňovací rozdíl k nabytému majetku;B.II.9.
098 - Oprávky k oceňovacímu rozdílu k nabytému majetku;K/B.II.9.
ÚČTOVÁ TŘÍDA 1 - ZÁSOBY
11 - Materiál
111 - Pořízení materiálu;C.I.1.
112 - Materiál na skladě;C.I.1.
118 - Poskytnuté zálohy na materiál;C.I.6.
119 - Materiál na cestě;C.I.1.
12 - Zásoby vlastní výroby
121 - Nedokončená výroba;C.I.2.
122 - Polotovary vlastní výroby;C.I.2.
123 - Výrobky;C.I.3.
124 - Zvířata;C.I.4.
128 - Poskytnuté zálohy na zvířata;C.I.6.
13 - Zboží
131 - Pořízení zboží;C.I.5.
132 - Zboží na skladě a v prodejnách;C.I.5.
138 - Poskytnuté zálohy na zboží;C.I.6.
139 - Zboží na cestě;C.I.5.
19 - Opravné položky k zásobám
191 - Opravná položka k materiálu;K/C.I.1.
192 - Opravná položka k nedokončené výrobě;K/C.I.2.
193 - Opravná položka k polotovarům vlastní výroby;K/C.I.2.
194 - Opravná položka k výrobkům;K/C.I.3.
195 - Opravná položka ke zvířatům;K/C.I.4.
196 - Opravná položka ke zboží;K/C.I.5.
197 - Opravná položka k zálohám na materiál;K/C.I.6.
198 - Opravná položka k zálohám na zboží;K/C.I.6.
199 - Opravná položka k zálohám na zvířata;K/C.I.6.
ÚČTOVÁ TŘÍDA 2 - FINANČNÍ ÚČTY
21 - Peníze
211 - Pokladna;C.IV.1.
213 - Ceniny;C.IV.1.
